secondary_sample_accession	fastq_ftp	sample_title
SRS1159214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920572/SRR2920572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920572/SRR2920572_2.fastq.gz	SU444-Leuk-141118
SRS1159213	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920573/SRR2920573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920573/SRR2920573_2.fastq.gz	SU444-LSC-012015
SRS1159212	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920574/SRR2920574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920574/SRR2920574_2.fastq.gz	SU444-pHSC-141118
SRS1159211	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920575/SRR2920575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920575/SRR2920575_2.fastq.gz	SU484-Leuk-140812
SRS1159210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920576/SRR2920576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920576/SRR2920576_2.fastq.gz	SU484-pHSC-140812
SRS1159209	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920577/SRR2920577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920577/SRR2920577_2.fastq.gz	SU496-Leuk-140814
SRS1159208	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920578/SRR2920578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920578/SRR2920578_2.fastq.gz	SU496-LSC-012015
SRS1159207	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920579/SRR2920579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920579/SRR2920579_2.fastq.gz	SU496-pHSC-140814
SRS1159206	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920580/SRR2920580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920580/SRR2920580_2.fastq.gz	SU501-Leuk-141118
SRS1159205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920581/SRR2920581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920581/SRR2920581_2.fastq.gz	SU501-pHSC-141118
SRS1159204	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920582/SRR2920582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920582/SRR2920582_2.fastq.gz	SU575-Leuk
SRS1159203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920583/SRR2920583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920583/SRR2920583_2.fastq.gz	SU575-LSC-150120
SRS1159202	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920584/SRR2920584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920584/SRR2920584_2.fastq.gz	SU575 pHSC
SRS1159201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920585/SRR2920585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920585/SRR2920585_2.fastq.gz	SU583-Leuk-141115
SRS1159200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920586/SRR2920586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920586/SRR2920586_2.fastq.gz	SU583-LSC-150120
SRS1159199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920587/SRR2920587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920587/SRR2920587_2.fastq.gz	SU583-pHSC-141115
SRS1159198	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920588/SRR2920588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920588/SRR2920588_2.fastq.gz	SU583-pHSC-150627
SRS1159197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920589/SRR2920589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920589/SRR2920589_2.fastq.gz	SU623-Leuk-Rep1-150212
SRS1159196	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920590/SRR2920590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920590/SRR2920590_2.fastq.gz	SU623-Leuk-Rep2-150212
SRS1159195	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920591/SRR2920591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920591/SRR2920591_2.fastq.gz	SU623-Leuk
SRS1159194	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920592/SRR2920592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920592/SRR2920592_2.fastq.gz	SU623-pHSC
SRS1159193	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920593/SRR2920593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920593/SRR2920593_2.fastq.gz	SU654-Leuk-141115
SRS1159192	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920594/SRR2920594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920594/SRR2920594_2.fastq.gz	SU654-LSC-150120
SRS1159191	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920595/SRR2920595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920595/SRR2920595_2.fastq.gz	SU654-pHSC-141115
