secondary_sample_accession	fastq_ftp	sample_title
SRS1159294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920491/SRR2920491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920491/SRR2920491_2.fastq.gz	CB102-CD34-150627
SRS1159293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920492/SRR2920492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920492/SRR2920492_2.fastq.gz	Donor1022-Bcell-13-150120
SRS1159295	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920493/SRR2920493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920493/SRR2920493_2.fastq.gz	Donor1022-CD4-9-150120
SRS1159292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920494/SRR2920494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920494/SRR2920494_2.fastq.gz	Donor1022-CD8-10-150120
SRS1159291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920495/SRR2920495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920495/SRR2920495_2.fastq.gz	Donor1022-Nkcell-11-150120
SRS1159290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920496/SRR2920496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920496/SRR2920496_2.fastq.gz	Donor2596-CD4-9A-150303
SRS1159289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920497/SRR2920497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920497/SRR2920497_2.fastq.gz	Donor2596-CD8-10B-150303
SRS1159288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920498/SRR2920498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920498/SRR2920498_2.fastq.gz	Donor2596-CLP-14A-150303
SRS1159287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920499/SRR2920499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920499/SRR2920499_2.fastq.gz	Donor2596-CLP-14B-150303
SRS1159286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920500/SRR2920500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920500/SRR2920500_2.fastq.gz	Donor2596-CMP-4A-150303
